"IDDEVICE","NAME_DEVICE","IDTYPE_DEVICE","UUID","GMT_SHIFT","DAYLIGHT","MANUAL","SHORT_NAME"
"327","Яч. № 18  Фид.18 ХХ","1","{C27FB780-89A5-4242-BD1F-2A5596EE82CA}","5","false",,
"328","ТСН-1","1","{925468CB-5EBC-4576-8163-D28A8F386D8B}","5","false",,
"329","Яч. № 4  Фид.4 К-7 ск-516 68п","1","{38FD7A8B-0B85-4B2C-85D3-1664C52E54EB}","5","false",,
"330","Яч. № 6  Фид.6 К-23,25,25б скв-517","1","{BF9D5E2B-FC5F-41CB-8CB9-0D85EA9F4AA5}","5","false",,
"331","Яч. № 7  Фид.7 ск-515,515б","1","{572FB192-D0C4-4C83-B527-465FDEEECD42}","5","false",,
"332","Яч. № 8  Фид.8 К-13б","1","{68D420E1-1B1B-4A56-B219-6277C90582E7}","5","false",,
"333","Яч. № 14  Фид.14 К-6 ск-543б","1","{A7CEBF94-FE4D-4DDD-81AB-281AB10236DD}","5","false",,
"334","Яч. № 16  Фид.16 К-24","1","{A1D969E5-F18A-49E5-8833-31BDB2E3FAFA}","5","false",,
"335","Яч. № 18  Фид.18 К-5,13","1","{212B09E1-E086-4AC1-B627-F3E3A813D32B}","5","false",,
"336","Яч. №4  Фид.4 К-43","1","{3F89D7B5-6030-4C78-8D45-047AF33EBA42}","5","false",,
"337","Резерв","1",,"5","false",,
"338","Яч. №6  Фид.6 К-27 ск-626","1","{89E94E33-1ED9-4B51-802F-50230D8848D9}","5","false",,
"339","Яч. №14  Фид.14 РЕЗЕРВ К-43","1","{54CCFD16-0020-4A7D-BD87-8FF30E8B0031}","5","false",,
"340","Резерв","1",,"5","false",,
"341","Яч. №16  Фид.16 К-27(6) ск-616","1","{85A3F358-57B9-4EF2-AF92-0F6A694EA113}","5","false",,
"342","Яч. № 18  Фид.18 РЕЗЕРВ","1","{9A8C0E1D-EAB8-43FA-8C3F-5DBB37A2B5BF}","5","false",,
"343","Резерв","1",,"5","false",,
"344","Яч. № 3  Фид.3 К-9,38 ск-5р","1","{65F2FD9E-6789-4AEE-9D0D-2EAFA3BD247A}","5","false",,
"345","Яч. № 5  13р","1","{F8F650A5-C011-4583-81E3-7EF779168F26}","5","false",,
"346","Яч. № 8  Фид.8 К-37","1","{7C2EC62C-4D1A-4EDD-8945-86F837C4ECB8}","5","false",,
"347","Яч. № 10  К-40,41 (39,10)","1","{A7431C15-6FA3-44C3-9D05-A00D22F24699}","5","false",,
"348","Яч. № 5  Фид.5 Дачи","1","{A32C0459-6813-43D6-88AC-5AB7166C781C}","5","false",,
"349","Яч. № 6  Фид.6 ХХ","1","{5E6EA879-8950-4704-8326-249DD315DAAD}","5","false",,
"350","Резерв","1",,"5","false",,
"351","Резерв","1",,"5","false",,
"352","Яч. 6 Резерв","1","{F68CEB4D-4949-4E84-9795-6335A5CA39F7}","5","false",,
"353","Яч. № 7  РЕЗЕРВ","1","{F9718130-3EE6-4FDF-9FDD-5F6FE5D721EA}","5","false",,
"354","Яч. № 17  РЕЗЕРВ","1","{0D5B877D-B574-4493-BB21-B1598E7C8A9E}","5","false",,
"355","Резерв","1",,"5","false",,
"356","Резерв","1",,"5","false",,
"357","Резерв","1",,"5","false",,
"358","Резерв","1",,"5","false",,
"359","Резерв","1",,"5","false",,
"360","Резерв","1",,"5","false",,
"361","Яч. № 2  Фид.2 ХХ","1","{805FF7D3-C142-47FC-B3B2-8F82AD2C6FBA}","5","false",,
"362","Яч. № 11  Фид.11 ХХ","1","{198D38F3-F321-4BA9-A526-817A8C790E73}","5","false",,
"363","Яч. № 3  КТП-1 630кВа ГУ-4","1","{44D1DC5B-B28D-4C32-88FA-D0F7F9AB5F52}","5","false",,
"364","Яч. № 12 Резерв","1","{B788A2A8-99E5-4F01-9B9F-94E032AEC984}","5","false",,
"365","Яч. № 18  КТП-2 630кВа ГУ-4","1","{85F6C140-66C2-4532-BA71-C7E39F47708B}","5","false",,
"366","Яч. № 2  АД-9 НБПВ-2 250кВт","1","{21B3229C-C47C-4033-B536-95EAC60EDA86}","5","false",,
"367","Яч. № 7  АД-8 НБПВ-1 250кВт","1","{9E1FF919-4B6E-4BF3-ABDC-560CED201E37}","5","false",,
"368","Яч. № 8  АД-19 НБПВ-3 200кВт","1","{8EF71576-838C-44C0-A0AC-D0A23D2FAD38}","5","false",,
"369","Яч. № 9  АД-1 ННБ 315кВт","1","{F1E0682F-4382-400F-9A15-0CBCD4FA30C5}","5","false",,
"370","Яч. № 13  АД-10 НБПВ-2 250кВт","1","{181C90F9-B755-43C2-9F7C-0654E60EAECC}","5","false",,
"371","Яч. № 14  АД-2 ННБ 400кВт","1","{5E08D3C8-BCB9-4FD8-9691-C3D123CC555A}","5","false",,
"372","Яч. № 19  АД-18 НБПВ-3 200кВт","1","{2E25283B-D072-4EFC-A662-E1E60800A063}","5","false",,
"373","Яч. № 20  АД-3 ННБ 315кВт","1","{B07D7B47-C7DB-4153-93E6-20814C512AA3}","5","false",,
"374","Яч. № 9  СД-1","1","{E1523A29-D7BB-439E-869A-B02BABDB7B95}",,"false",,
"375","Яч. № 18  СД-2","1","{1797D3CC-9D59-4EC9-9170-0279C7FF74E1}",,"false",,
"376","Яч. № 19  СД-3","1","{884BE109-A9D6-4754-AFE3-CAAC77AF1F84}",,"false",,
"377","Яч. № 4  Фид.4 51","1","{3EAEF0BF-A60A-4189-A6EF-122E0EC7F082}",,"false",,
"378","Яч. № 11  Фид.11 29,30,33 скв 760 пост-сб","1","{5E362FB5-F30E-4FE5-81DE-34A0E1ABB0BF}",,"false",,
"379","Яч. № 4  Фид.4 к-32, к-49","1","{BEE4E29D-9881-4BE2-907E-FAD660995489}","5","false",,
