"IDPOINT_CONNECTION","NAME_POINT_CONNECTION","IDREGION","UUID","GMT_SHIFT","POWER_ACT","POWER_REACT","PK","PXX","SN","IDCTG_SALE","U","R","IDCTG","POWER_ACT_OBRAT","POWER_REACT_OBRAT","TC_OV_IDCHANNEL","LAST_TC_OV","ATS_CODE","KEGOC_CODE","IDTYPE_FIDER","SHORT_NAME","MARKA_PROVODA","LENGTH","LOSS_KORONA","LOSS_TOK","LOSS_PROC","CONST","IXX","UKZ","IDPROCESS"
"107","ПС35/6кВ КНС-2А: Яч.№02 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"108","ПС35/6кВ КНС-2А: Яч.№05 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"109","ПС35/6кВ КНС-2А: Яч.№10 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"110","ПС35/6кВ КНС-2А: Яч.№14 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"111","ПС35/6кВ КНС-2А: Яч.№20 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"112","ПС35/6кВ КНС-2А: Яч.№22 Резерв","0","{2EB054A3-7A62-423A-9E7D-4DBE7BED9F10}",,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"113","ПС35/6кВ КНС-3А: Яч.№04 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"114","ПС35/6кВ КНС-3А: Яч.№14 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"115","ПС35/6кВ КНС-3А: Яч.№17 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"116","ПС35/6кВ Куст-103: Яч.№14 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"117","ПС35/6кВ Куст-111: Яч.№07 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","ПС35/6кВ Куст-111: Яч.№08 Резерв","0","{F30E102A-1377-43A0-AB43-6A02463E847D}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"119","ПС35/6кВ Куст-111: Яч.№09 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","ПС35/6кВ Куст-111: Яч.№12 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
"121","ПС35/6кВ Куст-114: Яч.№02 Резерв","0","{E832640F-84DA-4A42-990D-698D3A7D3483}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"122","ПС35/6кВ Куст-114: Яч.№03 Резерв","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14"
