__well_num,neftWellopAverageLiquidDebit,neftWellopLiquidDensityTm,neftWellopPumpCurrentFreqTm,neftWellopVolumeWater,value
6006,47,0,0,,
552,26,0,0,,
969,29,901,51,39,0.3024189814814815
3108,40,944.102,48.1,57,0.43708425925925926
677,57,170.667,51,66.5,0.1125928125
2301,15,878,50,70,0.15243055555555557
758,83,968.1,50,73,0.9300034722222222
1634,98,0,0,,
637,29,546.25,96.3,90,0.18334780092592592
923,139,0,0,,
1904,182,0,0,,
525,0,0,,,
77,160,0,0,,
904,54,0,0,,
1817,107,168,52.3,65.3,0.20805555555555555
38,295,393.671,49.5,96,1.3441313078703703
4614,35,923,95,37,0.373900462962963
103,62,0,0,,
40,75,934.167,0,98,0.8109088541666668
4304,66,999.104,54.5,97,0.7632044444444445
3822,56,0,0,,
1907,17,967.5,50,78.3,0.19036458333333334
1411,112,0,0,,
316,56,0,0,,
1602,95,971,51,81.2,1.067650462962963
1575,42,0,0,,
304,1,0,0,,
934,21,893.7,50,53,0.21721875000000002
181,254,0,0,,
63,104,0,0,,
306,17,784,50,55,0.15425925925925926
676,160,953,50,80.5,1.7648148148148148
706,79,725.2,52,80.7,0.663087962962963
602,26,936.8,50,42,0.2819074074074074
13,135,749.7,50,90,1.17140625
445,27,0,0,,
1513,151,977,50,95,1.707488425925926
1206,138,52,90,0,
4228,14,940,50,36,0.15231481481481482
1902,122,987,53,92,1.3936805555555556
1495,12,0,0,,
1638,89,955,0,76.4,0.983738425925926
480,265,0,0,,
757,53,0,0,,
721,45,935,50,60,0.4869791666666667
3631,43,990.589,50,94.4,0.49300146990740745
875,44,934,51,75.9,0.47564814814814815
518,26,955.7,52,60,0.2875949074074074
764,44,814.65,100,90.6,0.41486805555555556
735,130,0,0,,
717,33,894.6,50,60,0.3416875
611,156,0,0,,
707,75,736.5,91,82.9,0.6393229166666666
502,6,731.2,97,37,0.05077777777777778
761,42,783.9,51,65,0.38106249999999997
1816,146,967,50,92.1,1.634050925925926
1232,146,0,0,,
453,300,0,0,,
168,46,947,50,67.4,0.5041898148148148
302,43,767,50,61,0.381724537037037
921,51,0,0,,
271,26,902.667,50,30,0.27163590277777777
2600,101,0,0,,
3094,2,0,0,,
547,145,0,0,,
84,20,805.596,50,55,0.18648055555555557
1169,85,991,48,95,0.9749421296296297
1813,152,958,50,88.2,1.6853703703703704
4618,47,935,51.5,72.5,0.5086226851851852
407,13,0,0,,
1289,93,0,0,,
1417,40,876.309,0,14,0.4056986111111111
2818,62,958,51,85,0.6874537037037037
946,15,875.967,50,20,0.15207760416666666
920,47,0,0,,
145,60,0,0,,
1469,28,0,0,,
571,55,925,0,92,0.5888310185185185
588,18,965,50,82.8,0.20104166666666667
668,42,0,0,,
395,6,978.11,0,50,0.06792430555555555
909,69,672.5,49,76,0.5370659722222222
3708,62,0,0,,
1229,150,0,0,,
765,58,736.7,50,86.5,0.49454398148148154
4223,71,963,46,89,0.7913541666666667
653,26,941.45,50,45,0.28330671296296295
754,12,0,0,,
963,28,913,50,37,0.2958796296296296
1606,123,961,49,82.3,1.3680902777777777
176,181,0,0,,
444,35,0,0,,
313,1,0,0,,
465,19,984,51,94,0.21638888888888888
9,36,0,0,,
3703,72,664.6,53,92,0.5538333333333334
215р,80,1000,50,95,0.9259259259259259
771,15,986.431,50,67.9,0.17125538194444445
760,39,852,100,85,0.38458333333333333
1164,43,932,51,47,0.4638425925925926
460,43,998,50,98,0.49668981481481483
1522,30,0,0,,
196,119,50,95,0,
4353,200,0,0,,
4610,116,0,0,,
450,0,0,,,
461,7,0,50,46,0
949,84,927.5,87,64,0.9017361111111111
281,62,0,0,,
9404,153,51,98,0,
1291,90,960.4,56,83,1.0004166666666667
1973,160,0,0,,
88,540,0,0,,
1555,52,935,52,60,0.5627314814814814
538,35,947.728,55,47,0.38391759259259256
134,62,993,97,90,0.7125694444444445
65,30,353.653,50,76,0.12279618055555555
1343,77,952.304,50,58.3,0.8486968518518518
752,50,0,0,,
4181,45,847.5,51.5,52,0.44140625
1552,27,514,50.5,72,0.160625
2786,67,0,0,,
500,125,0,0,,
950,15,963.5,0,72,0.16727430555555556
3820,29,991,0,96,0.33262731481481483
1980,23,50,86.3,0,
2302,72,870,47,95.2,0.725
1640,158,0,0,,
2790,54,953.667,50,80,0.596041875
871,65,876,52,32,0.6590277777777778
411,24,945,50,35,0.2625
315,16,860,50,72.6,0.15925925925925927
1233,194,0,0,,
784,46,0,0,,
487,49,584.506,0,86,0.3314906712962963
44В,268,0,0,,
925,6,83,0,,
961,83,94,93,0,
1111,164,992.2,50,93.2,1.8833425925925928
138,26,891.3,50,43.4,0.26821527777777776
1620,73,927,55,60.2,0.7832291666666666
1910,221,0,0,,
659,1,0,0,,
601,6,920.4,50,22,0.06391666666666666
614,158,971,49.5,97,1.7756712962962964
1639,455,0,0,,
1007,205,0,0,,
166,60,884,50,30.4,0.6138888888888889
613,55,203.167,47.5,94,0.1293308449074074
1500,33,961,50,78,0.3670486111111111
718,7,947.5,0,34,0.0767650462962963
475,25,974.583,50,73,0.28199739583333333
574,85,0,0,,
534,78,0,0,,
1470,14,710,50,43,0.1150462962962963
424,348,969,48,95,3.9029166666666666
4626,36,943.711,50,58.4,0.39321291666666663
876,43,962,50,75,0.47877314814814814
120,185,882,50,96,1.8885416666666666
736,37,957.5,48.5,78,0.4100405092592593
4624,72,0,0,,
492,142,776.9,49.5,97,1.276849537037037
3864,9,86,0,,
965,52,0,0,,
650,68,0,0,,
2788,41,967.667,53.5,78,0.4591938310185185
162,87,253.167,48.5,92,0.25492510416666664
139,41,0,0,,
146,60,894,50,62,0.6208333333333333
4235,15,948.304,52,40,0.1646361111111111
310,21,871,50,90,0.2117013888888889
1911,93,993,53,94.2,1.0688541666666667
26,126,957.6,50,97,1.3965
905,135,0,0,,
573,16,913.667,50,30,0.1691975925925926
609,38,0,0,,
1260,149,0,0,,
953,10,0,0,,
1909,186,0,0,,
456,150,0,0,,
20в,518,0,0,,
1078,39,895.6,48,72,0.4042638888888889
606,44,990,50,94,0.5041666666666667
891,45,929,50,45,0.48385416666666664
73,152,0,0,,
468,224,974,50.5,95,2.525185185185185
434,39,957,50,80,0.4319791666666667
890,62,979,51,67.4,0.7025231481481482
626,12,906.55,99,31,0.12590972222222221
1508,121,976,49,91.1,1.3668518518518518
974,58,956.51,54.5,70.2,0.6421016203703704
2784,250,0,0,,
87,32,256.783,50,63,0.09510481481481482
686,252,993.172,50,96.1,2.896751666666667
17,75,694.4,85,54,0.6027777777777777
131,41,882,45.5,80,0.41854166666666665
1433,128,0,0,,
1633,81,956,47.1,80.2,0.89625
549,67,455.235,45.5,95,0.3530178819444445
2631,126,167.5,48.5,90.8,0.24427083333333333
140,116,0,0,,
640,36,0,0,,
126,163,0,0,,
1407,98,0,0,,
4224,5,0,0,,
28,167,0,0,,
22,45,923.561,55,62,0.4810213541666667
184,130,0,0,,
1501,19,935,50,46,0.20561342592592594
570,125,0,0,,
1383,89,773.5,50,70,0.7967766203703703
912,83,0,0,,
931,77,0,0,,
55,492,0,0,,
4616,17,895,100,30,0.17609953703703704
1557,91,939,49.5,78,0.9889930555555555
497,196,0,0,,
463,125,980.5,50.6,96,1.4185474537037037
750,40,976.883,49,79.1,0.45226064814814815
766,40,955.5,50,74,0.4423611111111111
3700,72,0,0,,
966,36,909,50,43,0.37875
1300,124,0,0,,
737,42,0,0,,
6007,148,0,0,,
3630,37,940.985,50,66,0.4029681134259259
4221,16,842,50,50.2,0.1559259259259259
663,50,976.26,96,91.5,0.5649652777777778
730,124,0,0,,
1384,148,0,0,,
1551,48,926,52,50,0.5144444444444445
4630,49,944.082,52,44,0.5354168749999999
1077,35,0,0,,
3190,92,1004.75,50,98,1.0698726851851852
414,40,993.747,0,98,0.4600680555555555
576,590,0,0,,
482,132,0,0,,
968,86,969,50,94,0.9645138888888889
567,60,865.333,48,40,0.6009256944444444
143,119,0,0,,
648,9,882.117,50,14,0.0918871875
6572,76,963.734,50.5,72,0.8477289814814815
464,83,0,0,,
1625,79,0,0,,
877,61,960,50,86.5,0.6777777777777778
1578,25,0,0,,
741,115,0,0,,
173р,108,882,0,95,1.1025
3099,1,0,0,,
457,104,0,0,,
158,106,50,93,0,
402,40,940,50,75,0.4351851851851852
409,17,1132,50,40,0.22273148148148147
36,324,194,42,97,0.7275
763,57,938.3,48.5,63.8,0.619017361111111
768,88,866.7,51,80,0.88275
1600,29,962,51,72,0.3228935185185185
820,42,1000.125,0,93,0.486171875
572,39,983,50,90,0.44371527777777775
937,60,0,0,,
522,18,0,0,,
881,87,0,0,,
2742,65,951.333,50,72,0.7157019097222221
4303,5,0,0,,
3265,120,0,0,,
454,50,971.771,50,92,0.5623674768518518
681,255,0,0,,
769,31,960.421,50,82,0.3445954976851852
311,15,869,100,80,0.15086805555555555
435,118,986,48,95,1.3466203703703703
1223,5,844,50,53,0.04884259259259259
1493,118,788.2,47,83.1,1.076476851851852
972,33,0,0,,
655,25,886.249,50,17,0.25643778935185185
956,53,0,0,,
192,84,993.681,50,88,0.96607875
664,3,66.18,0,,
294,5,916,48,17.8,0.053009259259259256
660,85,0,0,,
122,101,0,0,,
3701,36,0,0,,
380,34,1010,50,97,0.3974537037037037
1471,19,0,0,,
1230,12,873,50,73,0.12125
3116,206,859.933,49.5,92.3,2.050303217592593
56,62,281.474,50,93,0.2019836574074074
599,390,0,0,,
4629,70,1005.37,44,66,0.8145358796296296
76,82,346.247,50,97,0.32861405092592594
1341,240,0,0,,
529,146,19383,50,94,32.753680555555555
608,89,0,0,,
4623,40,0,0,,
2754,42,960.971,47,72,0.4671386805555556
1342,62,927.103,50,37.7,0.6652822453703704
551,47,0,0,,
4354,290,0,0,,
2969,25,975.018,51,57.3,0.2821232638888889
579,16,0,0,,
1366,47,882,50,81,0.47979166666666667
1626,150,952,54,81,1.6527777777777777
1224,42,0,0,,
872,140,0,0,,
1970,0,0,,,
1908,122,0,0,,
1040,0,0,0,,
1114,190,0,0,,
1272,187,0,0,,
1312,147,0,0,,
2686,29,0,0,,
4101,30,931.853,52,47.6,0.32356006944444443
927,21,933.501,52.5,61.5,0.22689260416666668
1163,20,954,52,62,0.22083333333333333
4612,117,0,0,,
1005,48,0,0,,
1560,39,940,53,60,0.42430555555555555
896,100,0,0,,
1123,78,947.5,50,68,0.8553819444444445
1574,73,659.45,51,68.1,0.5571741898148149
641,71,0,0,,
1386,37,637.65,50,75.5,0.2730677083333333
1632,93,0,0,,
4,237,0,0,,
1270,168,0,0,,
4600,59,979.539,49,78.4,0.6688981597222222
776,14,0,0,,
713,37,925,50,67,0.3961226851851852
485,49,991.668,45,95,0.5624043055555557
127,6,0,0,,
2780,245,982.667,50,91,2.7864978587962965
80,57,218.498,51,98,0.1441479861111111
569,65,0,0,,
2746,29,1067,50,60,0.35813657407407407
504,163,0,0,,
1475,153,987.614,50,83,1.7488997916666669
35,73,0,0,,
644,17,0,0,,
16,22,0,0,,
488,28,0,0,,
1613,21,941.4,51,62,0.22881249999999997
110,13,923,50,35.1,0.13887731481481483
107,820,99.9,0,,
726,10,0,0,,
206,83,0,0,,
3113,101,793.8,50,78.7,0.9279374999999999
2300,54,875,52,59.2,0.546875
772,32,892.6,50,17.7,0.3305925925925926
733,203,0,0,,
619,69,982,51,96,0.7842361111111111
3955,19,0,0,,
4613,48,887,51,44.5,0.49277777777777776
8,32,912.23,51.5,74,0.337862962962963
2749,67,0,0,,
383,112,0,0,,
448,5,75,0,,
880,122,0,0,,
34,210,950.5,51,94,2.3102430555555555
6003,38,1007.539,92,98,0.44313057870370365
652,26,925.9,50,40.1,0.2786273148148148
2305,17,888,50,28,0.17472222222222222
786,33,946.511,51,62.5,0.3615146180555555
924,82,849.667,49,85,0.8063969212962964
1758,30,0,0,,
910,63,0,0,,
906,15,642,50,40.2,0.11145833333333334
130,111,0,0,,
1621,85,0,0,,
879,27,899.5,50,17,0.28109375
1900,55,972.5,50,90,0.6190682870370371
1028,20,864.8,50,76,0.2001851851851852
971,76,969,50,86,0.8523611111111111
748,12,921,50,45,0.12791666666666668
220,11,0,0,,
719,21,933,51,62.6,0.22677083333333334
197,112,0,0,,
722,131,0,0,,
627,1,922,50,45,0.010671296296296297
683,168,0,0,,
86,228,0,0,,
1220,22,870.4,50,88,0.22162962962962962
