"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"281-287",,"К-40Б","287",,"Вкл.","Линия","Вкл.","6,3","188","85,3","187","85,3","0,0742","0,0953","0,0395","0","-0,0333","19,69","19,69","10000","0,00197","0","Сущ"
"282-283",,"282","283",,"Вкл.","Линия","Вкл.","6,3","708","354","707","353","0,596","0,765","0,0841","0","-0,00939","89,1","89,1","10000","0,00891","0","Сущ"
"282-288",,"282","288",,"Вкл.","Линия","Вкл.","6,3","149","97,1","149","97,1","0,0765","0,0983","0,0515","0","-0,024","20","20","10000","0,002","0","Сущ"
"283-284",,"283","284",,"Вкл.","Выключатель","Вкл.","6,3","429","211","429","211","0","0","0","0","0","53,9","53,9","-","-","0","Сущ"
"283-285",,"283","К-40Б",,"Вкл.","Трансформатор","Вкл.","6,3","279","142","275","124","1,44","6,91","0,516","2,19","10,93","35,2","517","96,2","0,366","0","Сущ"
"284-286",,"284","К-40Б",,"Вкл.","Трансформатор","Вкл.","6,3","429","211","423","184","3,41","16,41","0,796","2,19","10,93","53,9","797","96,2","0,56","0","Сущ"
"287-290",,"287","К-40Б",,"Вкл.","Трансформатор","Вкл.","6,3","187","85,3","184","68","0,43","2,07","0,23","3,04","15,19","19,69","283","96,2","0,205","0","Сущ"
"288-289",,"288","К-40Б",,"Вкл.","Трансформатор","Вкл.","6,3","149","97,1","146","84","0,443","2,13","0,298","2,19","10,94","20","287","96,2","0,208","0","Сущ"
"288-287",,"288","287",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"291-293",,"291","293",,"Вкл.","Линия","Вкл.","35","1963","1234","1962","1235","0,667","1,07","0,034","0","-1,93","39,1","39,2","10000","0,00391","0","Сущ"
"291-296",,"291","296",,"Вкл.","Линия","Вкл.","35","9326","4375","9054","3978","273","436","2,92","0","-38,3","174","174","10000","0,0174","0","Сущ"
"292-294",,"292","ПС 35 кВ Салманов",,"Вкл.","Линия","Вкл.","35","4113","2646","4110","2642","3,15","5,04","0,0767","0","-1,81","85,2","85,2","10000","0,00852","0","Сущ"
"292-295",,"292","295",,"Вкл.","Линия","Вкл.","35","7942","5035","7700","4685","242","386","3,04","0","-36","164","164","10000","0,0164","0","Сущ"
"293-301",,"293","2 СШ 6 кВ Салманов",,"Вкл.","Трансформатор","Вкл.","35","1963","1235","1947","1116","6,4","64,8","0,326","8,77","54,1","39,2","198","104","0,377","0","Сущ"
"294-302",,"ПС 35 кВ Салманов","1 СШ 6 кВ Салманов",,"Вкл.","Трансформатор","Вкл.","35","4110","2643","4071","2280","30,8","311","0,749","8,24","50,8","85,2","445","104","0,82","0","Сущ"
"295-298",,"295","ГТЭС ДНС-2",,"Вкл.","Линия","Вкл.","35","6112","3434","6087","3401","24,4","39","0,4","0","-5,69","128","128","10000","0,0128","0","Сущ"
"295-300",,"295","ПС 35 кВ Норкин",,"Вкл.","Линия","Вкл.","35","1589","1251","1581","1259","7,22","11,53","0,454","0","-20,1","36,8","37","10000","0,00368","0","Сущ"
"296-297",,"296","297",,"Вкл.","Линия","Вкл.","35","7337","2850","7308","2810","28,8","46,1","0,393","0","-6,08","139","139","10000","0,0139","0","Сущ"
"296-299",,"296","299",,"Вкл.","Линия","Вкл.","35","1717","1128","1710","1138","6,98","11,15","0,406","0","-21,5","36,2","36,4","10000","0,00362","0","Сущ"
"297-305",,"297","2 СШ",,"Вкл.","Трансформатор","Вкл.","35","7308","2810","7274","2562","10,92","139","0,149","22,8","108","139","706","412","0,336","0","Сущ"
"298-306",,"ГТЭС ДНС-2","ДНС-2 1 СШ",,"Вкл.","Трансформатор","Вкл.","35","6087","3401","6057","3182","9,21","117","0,151","21,4","101","128","648","412","0,31","0","Сущ"
"299-303",,"299","2 СШ 6 кВ Норкин",,"Вкл.","Трансформатор","Вкл.","35","1710","1138","1692","1027","1,51","14,17","0,0885","16,9","97,1","36,4","185","264","0,138","0","Сущ"
"300-304",,"ПС 35 кВ Норкин","1 СШ 6 кВ Норкин",,"Вкл.","Трансформатор","Вкл.","35","1581","1259","1564","1154","1,56","14,62","0,0988","15,81","90,8","37","188","264","0,14","0","Сущ"
"301-302",,"2 СШ 6 кВ Салманов","1 СШ 6 кВ Салманов",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"301-307",,"2 СШ 6 кВ Салманов","307","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","955","640","951","635","3,85","4,94","0,403","0","-0,0764","101","101","10000","0,0101","0","Сущ"
"301-340",,"2 СШ 6 кВ Салманов","340","Ф-8 Салманов","Вкл.","Линия","Вкл.","6,3","456","185","444","171","11,42","14,67","2,51","0","-1,2","43,3","43,4","10000","0,00433","0","Сущ"
"301-353",,"2 СШ 6 кВ Салманов","353","Ф-14 Салманов","Вкл.","Линия","Вкл.","6,3","1,67","12,65","1,67","13,07","0,00264","0,0034","0","0","-0,415","1,12","1,16","10000","0,000112","0","Сущ"
"302-308",,"1 СШ 6 кВ Салманов","308","Ф-15 Салманов","Вкл.","Линия","Вкл.","6,3","195","147","195","147","0,204","0,262","0,104","0","-0,0654","23,3","23,3","10000","0,00233","0","Сущ"
"302-336",,"1 СШ 6 кВ Салманов","336","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","1120","714","1047","620","73,5","94,4","6,56","0","-0,735","127","127","10000","0,0127","0","Сущ"
"302-352",,"1 СШ 6 кВ Салманов","352","Ф-11 Салманов","Вкл.","Линия","Вкл.","6,3","725","339","713","324","11,79","15,15","1,63","0","-0,346","76,3","76,3","10000","0,00763","0","Сущ"
"303-558",,"2 СШ 6 кВ Норкин","558","Ф-13 Норкин","Вкл.","Линия","Вкл.","6,3","0,000182","-1,01","0,000174","-0,802","0","0","0","0","-0,211","0,0948","0,0751","10000","0","0","Сущ"
"303-570",,"2 СШ 6 кВ Норкин","570","Ф-21 Норкин","Вкл.","Линия","Вкл.","6,3","1211","714","1113","589","97,5","125","8,06","0","-0,919","132","132","10000","0,0132","0","Сущ"
"303-592",,"2 СШ 6 кВ Норкин","592","Ф-14 Норкин","Вкл.","Линия","Вкл.","6,3","481","314","475","306","6,52","8,38","1,36","0","-0,401","53,8","53,9","10000","0,00538","0","Сущ"
"304-303",,"1 СШ 6 кВ Норкин","2 СШ 6 кВ Норкин",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"304-557",,"1 СШ 6 кВ Норкин","557","Ф-2 Норкин","Вкл.","Линия","Вкл.","6,3","622","480","607","461","15,22","19,56","2,45","0","-0,431","76,1","76,2","10000","0,00761","0","Сущ"
"304-569",,"1 СШ 6 кВ Норкин","569","Ф-9 Норкин","Вкл.","Линия","Вкл.","6,3","942","674","871","584","70,9","91","7,53","0","-0,866","112","112","10000","0,0112","0","Сущ"
"305-372",,"2 СШ","372","Ф-2","Вкл.","Линия","Вкл.","6,3","969","552","937","513","31,2","40,1","3,23","0","-0,546","102","102","10000","0,0102","0","Сущ"
"305-382",,"2 СШ","РУ-6 кВ ДНС-2 2 СШ",,"Вкл.","Линия","Вкл.","6,3","2389","3850","2363","3831","25,7","18,83","1,07","0","0","415","415","10000","0,0415","0","Сущ"
"305-433",,"2 СШ","2 СШ",,"Вкл.","Линия","Вкл.","6,3","3397","-2220","3384","-2229","12,35","9,06","0,363","0","0","371","371","10000","0,0371","0","Сущ"
"306-305",,"ДНС-2 1 СШ","2 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"306-371",,"ДНС-2 1 СШ","371","Ф-1","Вкл.","Линия","Вкл.","6,3","250","175","247","172","2,5","3,21","1","0","-0,524","28,9","28,9","10000","0,00289","0","Сущ"
"306-384",,"ДНС-2 1 СШ","384","Ф-4 ДНС-2","Вкл.","Линия","Вкл.","6,3","-985","-2739","-1025","-2790","39,9","51,3","4,06","0","-0,0949","276","276","10000","0,0276","0","Сущ"
"306-383",,"ДНС-2 1 СШ","1 СШ",,"Вкл.","Линия","Вкл.","6,3","3208","3160","3180","3140","27,2","19,93","0,847","0","0","427","427","10000","0,0427","0","Сущ"
"306-432",,"ДНС-2 1 СШ","КРУН-6 кВ ДНС-2 1 СШ",,"Вкл.","Линия","Вкл.","6,3","3584","2587","3569","2575","15,7","11,53","0,438","0","0","419","419","10000","0,0419","0","Сущ"
"307-310",,"307","310","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","180","87,1","179","86,8","0,493","0,634","0,274","0","-0,318","17,69","17,7","10000","0,00177","0","Сущ"
"307-314",,"307","314","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","771","548","764","539","6,84","8,79","0,887","0","-0,195","83,8","83,8","10000","0,00838","0","Сущ"
"308-309",,"308","К-69","Ф-15 Салманов","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"308-313",,"308","313","Ф-15 Салманов","Вкл.","Линия","Вкл.","6,3","195","147","195","146","0,531","0,683","0,272","0","-0,169","23,3","23,3","10000","0,00233","0","Сущ"
"309-311",,"К-69","К-69",,"Вкл.","Трансформатор","Вкл.","6,3","88,8","43,4","87","28","0,145","0,61","0,163","1,64","14,77","8,78","122","60,6","0,145","0","Сущ"
"310-312",,"310","К-69",,"Вкл.","Трансформатор","Вкл.","6,3","90,5","43,4","88,7","28","0,15","0,632","0,166","1,64","14,77","8,92","124","60,6","0,147","0","Сущ"
"310-309",,"310","К-69",,"Вкл.","Выключатель","Вкл.","6,3","88,8","43,4","88,8","43,4","0","0","0","0","0","8,78","8,78","-","-","0","Сущ"
"313-315",,"313","К-68","Ф-15 Салманов","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"313-319",,"313","319","Ф-15 Салманов","Вкл.","Линия","Вкл.","6,3","195","146","193","145","1,64","2,1","0,841","0","-0,514","23,4","23,4","10000","0,00234","0","Сущ"
"314-316",,"314","316","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","229","160","229","160","0,19","0,244","0,083","0","-0,0601","25","25","10000","0,0025","0","Сущ"
"314-320",,"314","320","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","535","379","525","366","10,37","13,32","1,94","0","-0,58","58,8","58,8","10000","0,00588","0","Сущ"
"315-316",,"К-68","316",,"Вкл.","Выключатель","Вкл.","6,3","-106","-56,4","-106","-56,4","0","0","0","0","0","10,76","10,76","-","-","0","Сущ"
"315-317",,"К-68","К-68",,"Вкл.","Трансформатор","Вкл.","6,3","106","56,4","104","41","0,221","0,931","0,209","1,61","14,51","10,76","151","60,6","0,177","0","Сущ"
"316-318",,"316","К-68",,"Вкл.","Трансформатор","Вкл.","6,3","123","103","121","87","0,396","1,67","0,322","1,61","14,51","14,4","202","60,6","0,237","0","Сущ"
"319-321",,"319","К-63","Ф-15 Салманов","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"319-325",,"319","325","Ф-15 Салманов","Вкл.","Линия","Вкл.","6,3","193","145","192","143","1,52","1,95","0,787","0","-0,466","23,4","23,4","10000","0,00234","0","Сущ"
"320-322",,"320","322","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","227","160","227","159","0,588","0,755","0,258","0","-0,169","25,5","25,6","10000","0,00255","0","Сущ"
"320-326",,"320","326","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","298","206","295","203","3,07","3,95","1,03","0","-0,516","33,3","33,3","10000","0,00333","0","Сущ"
"321-322",,"К-63","322",,"Вкл.","Выключатель","Вкл.","6,3","-102","-39,9","-102","-39,9","0","0","0","0","0","10,12","10,12","-","-","0","Сущ"
"321-323",,"К-63","К-63",,"Вкл.","Трансформатор","Вкл.","6,3","102","39,9","99","23","0,107","0,512","0,104","3,27","16,36","10,12","141","96,2","0,105","0","Сущ"
"322-324",,"322","К-63",,"Вкл.","Трансформатор","Вкл.","6,3","125","120","121","102","0,26","1,25","0,209","3,27","16,36","15,91","220","96,2","0,165","0","Сущ"
"325-327",,"325","327","Ф-15 Салманов","Вкл.","Линия","Вкл.","6,3","192","144","192","143","0,103","0,132","0,0537","0","-0,0311","23,4","23,4","10000","0,00234","0","Сущ"
"325-331",,"325","К-62","Ф-15 Салманов","Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"326-328",,"326","К-62бис","Ф-18 Салманов","Откл.","Линия","Вкл.",,,,,,,,,,,,,,"0","Сущ",
"326-332",,"326","332","Ф-18 Салманов","Вкл.","Линия","Вкл.","6,3","294","203","294","202","0,416","0,534","0,141","0","-0,0687","33,3","33,3","10000","0,00333","0","Сущ"
"327-328",,"327","К-62бис",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"327-329",,"327","К-62бис",,"Вкл.","Трансформатор","Вкл.","6,3","192","143","188","126","0,605","2,91","0,316","2,9","14,49","23,4","335","96,2","0,243","0","Сущ"
"328-330",,"К-62бис","К-62бис",,"Вкл.","Трансформатор","Вкл.","6,3","0","0","0","0","0","0","0","0","0","0","0","-","-","0","Сущ"
"331-333",,"К-62","К-62",,"Вкл.","Трансформатор","Вкл.","6,3","128","99,3","126","84","0,442","1,86","0,345","1,49","13,42","15,1","214","60,6","0,249","0","Сущ"
"331-332",,"К-62","332",,"Вкл.","Выключатель","Вкл.","6,3","-128","-99,3","-128","-99,3","0","0","0","0","0","15,1","15,1","-","-","0","Сущ"
"332-334",,"332","К-62",,"Вкл.","Трансформатор","Вкл.","6,3","166","103","164","87","0,666","2,81","0,401","1,49","13,42","18,24","262","60,6","0,301","0","Сущ"
"335-341",,"335","341","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","291","165","290","163","1,5","1,92","0,514","0","-0,17","35,3","35,3","10000","0,00353","0","Сущ"
"335-345",,"335","345","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","139","73,8","139","73,5","0,414","0,531","0,297","0","-0,214","16,6","16,61","10000","0,00166","0","Сущ"
"336-337",,"336","К-54","Ф-5","Вкл.","Линия","Вкл.","6,3","612","377","608","372","3,78","4,86","0,618","0","-0,0981","74,9","74,9","10000","0,00749","0","Сущ"
"336-335",,"336","335","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","434","244","430","239","4,04","5,19","0,93","0","-0,217","51,9","51,9","10000","0,00519","0","Сущ"
"337-338",,"К-54","К-54",,"Вкл.","Трансформатор","Вкл.","6,3","355","223","350","195","4,09","17,24","1,15","1,18","10,58","44","650","60,6","0,727","0","Сущ"
"337-339",,"К-54","К-54",,"Вкл.","Трансформатор","Вкл.","6,3","253","149","250","130","1,98","8,36","0,784","1,18","10,58","30,8","453","60,6","0,509","0","Сущ"
"340-342",,"340","К-51","Ф-8 Салманов","Вкл.","Линия","Вкл.","6,3","209","73,9","208","73,5","0,52","0,668","0,249","0","-0,244","20,2","20,2","10000","0,00202","0","Сущ"
"340-346",,"340","К-61","Ф-8 Салманов","Вкл.","Линия","Вкл.","6,3","235","97,4","235","96,6","0,808","1,04","0,343","0","-0,286","23,2","23,2","10000","0,00232","0","Сущ"
"341-344",,"341","К-51",,"Вкл.","Трансформатор","Вкл.","6,3","290","163","286","142","2,62","11,04","0,904","1,15","10,35","35,3","520","60,6","0,583","0","Сущ"
"342-341",,"К-51","341",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"342-343",,"К-51","К-51",,"Вкл.","Трансформатор","Вкл.","6,3","208","73,5","206","56","0,842","3,55","0,404","1,55","13,98","20,2","295","60,6","0,333","0","Сущ"
"345-347",,"345","347","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","138","66,7","138","66,6","0,0985","0,127","0,0715","0","-0,0531","16,21","16,21","10000","0,00162","0","Сущ"
"345-350",,"345","д.Тайлаково","Ф-5 Салманов","Вкл.","Линия","Вкл.","6,3","0,827","6,78","0,827","6,94","0,000602","0,000773","0","0","-0,16","0,723","0,74","10000","0","0","Сущ"
"346-348",,"К-61","К-61",,"Вкл.","Трансформатор","Вкл.","6,3","235","96,6","232","78","1,11","4,7","0,475","1,55","13,94","23,2","339","60,6","0,383","0","Сущ"
"347-349",,"347","К-61",,"Вкл.","Трансформатор","Вкл.","6,3","138","66,6","136","54","0,533","2,25","0,387","1,15","10,39","16,21","235","60,6","0,267","0","Сущ"
"347-346",,"347","К-61",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"350-351",,"д.Тайлаково","Тайлаково",,"Вкл.","Трансформатор","Вкл.","6,3","0,826","6,94","0,000381","0,000523","0","0","0","0,826","6,94","0,74","0,00103","38,5","0,0192","0","Сущ"
"352-354",,"352","К-75","Ф-11 Салманов","Вкл.","Линия","Вкл.","6,3","51,5","42,4","51,4","42,5","0,0667","0,0857","0,13","0","-0,263","6,5","6,52","10000","0,00065","0","Сущ"
"352-357",,"352","357","Ф-11 Салманов","Вкл.","Линия","Вкл.","6,3","661","281","652","270","9,21","11,83","1,39","0","-0,308","70,1","70,1","10000","0,00701","0","Сущ"
"353-355",,"353","355","Ф-14 Салманов","Вкл.","Линия","Вкл.","6,3","-0,00154","-0,324","-0,00154","-0,00134","0","0","0","0","-0,322","0,0285","0,00018","10000","0","0","Сущ"
"353-358",,"353","358","Ф-14 Салманов","Вкл.","Линия","Вкл.","6,3","1,67","13,39","1,67","13,77","0,00273","0,0035","0","0","-0,384","1,19","1,22","10000","0,000119","0","Сущ"
"354-355",,"К-75","355",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"354-356",,"К-75","К-75",,"Вкл.","Трансформатор","Вкл.","6,3","51,4","42,5","50","30","0,0711","0,299","0,138","1,36","12,24","6,52","85,7","60,6","0,107","0","Сущ"
"357-359",,"357","359","Ф-11 Салманов","Вкл.","Линия","Вкл.","6,3","394","127","394","127","0,253","0,325","0,0643","0","-0,0242","41,1","41,1","10000","0,00411","0","Сущ"
"357-368",,"357","368","Ф-11 Салманов","Вкл.","Линия","Вкл.","6,3","258","142","254","137","4,84","6,21","1,87","0","-0,885","29,3","29,3","10000","0,00293","0","Сущ"
"358-360",,"358","360","Ф-14 Салманов","Вкл.","Линия","Вкл.","6,3","1,67","14,91","1,67","14,94","0,000263","0,000338","0","0","-0,0307","1,32","1,33","10000","0,000132","0","Сущ"
"358-369",,"358","К-59","Ф-14 Салманов","Вкл.","Линия","Вкл.","6,3","0","-1,15","0","0","0","0","0","0","-1,15","0,101","0","10000","0","0","Сущ"
"359-361",,"359","К-56",,"Вкл.","Линия","Вкл.","6,3","394","127","393","127","0,127","0,163","0,0322","0","-0,0121","41,1","41,1","10000","0,00411","0","Сущ"
"359-365",,"359","К-56бис",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"360-362",,"360","362",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"360-366",,"360","366",,"Вкл.","Линия","Вкл.","6,3","1,67","14,97","1,67","15,02","0,000398","0,000511","0","0","-0,046","1,33","1,33","10000","0,000133","0","Сущ"
"361-363",,"К-56","К-56",,"Вкл.","Трансформатор","Вкл.","6,3","187","60,1","185","45","0,793","3,34","0,424","1,31","11,81","19,54","286","60,6","0,322","0","Сущ"
"361-362",,"К-56","362",,"Вкл.","Выключатель","Вкл.","6,3","206","66,9","206","66,9","0","0","0","0","0","21,6","21,6","-","-","0","Сущ"
"362-364",,"362","К-56",,"Вкл.","Трансформатор","Вкл.","6,3","206","66,9","204","51","0,969","4,08","0,47","1,31","11,81","21,6","316","60,6","0,356","0","Сущ"
"365-367",,"К-56бис","К-56бис",,"Вкл.","Трансформатор","Вкл.","6,3","1,67","15,01","0","0","0","0","0","1,67","15,01","1,33","0","60,6","0,022","0","Сущ"
"365-366",,"К-56бис","366",,"Вкл.","Выключатель","Вкл.","6,3","-1,67","-15,01","-1,67","-15,01","0","0","0","0","0","1,33","1,33","-","-","0","Сущ"
"368-370",,"368","К-59",,"Вкл.","Трансформатор","Вкл.","6,3","254","137","250","119","0,981","4,72","0,387","2,68","13,41","29,3","427","96,2","0,305","0","Сущ"
"368-369",,"368","К-59",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"371-374",,"371","К-134",,"Вкл.","Линия","Вкл.","6,3","247","172","247","172","0,376","0,482","0,152","0","-0,0775","28,9","28,9","10000","0,00289","0","Сущ"
"371-379",,"371","К-34",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"372-373",,"372","373",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"372-378",,"372","378",,"Вкл.","Линия","Вкл.","6,3","937","513","934","509","3,13","4,02","0,334","0","-0,052","102","102","10000","0,0102","0","Сущ"
"373-374",,"373","К-134",,"Вкл.","Выключатель","Вкл.","6,3","-105","-85","-105","-85","0","0","0","0","0","12,97","12,97","-","-","0","Сущ"
"373-375",,"373","К-134",,"Вкл.","Трансформатор","Вкл.","6,3","105","85","103","71","0,32","1,35","0,306","1,4","12,61","12,97","182","60,6","0,214","0","Сущ"
"374-376",,"К-134","К-134",,"Вкл.","Трансформатор","Вкл.","6,3","142","86,8","140","72","0,508","2,14","0,358","1,4","12,61","16","229","60,6","0,264","0","Сущ"
"374-377",,"К-134","КРУН БУ",,"Вкл.","Линия","Вкл.","6,3","-0,000325","-0,168","-0,000325","-0,000852","0","0","0","0","-0,168","0,0162","0","10000","0","0","Сущ"
"378-380",,"378","К-34",,"Вкл.","Трансформатор","Вкл.","6,3","551","299","542","254","7,7","32,5","1,4","1,41","12,67","60,2","892","60,6","0,993","0","Сущ"
"378-379",,"378","К-34",,"Вкл.","Выключатель","Вкл.","6,3","383","210","383","210","0","0","0","0","0","41,9","41,9","-","-","0","Сущ"
"379-381",,"К-34","К-34",,"Вкл.","Трансформатор","Вкл.","6,3","383","210","378","185","2,03","9,76","0,53","3,02","15,08","41,9","615","96,2","0,436","0","Сущ"
"382-383",,"РУ-6 кВ ДНС-2 2 СШ","1 СШ",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"382-537",,"РУ-6 кВ ДНС-2 2 СШ","Котельная","Ф-18","Вкл.","Линия","Вкл.","6,3","11,09","12,11","11,09","12,12","0,00165","0,000428","0,0149","0","-0,0108","1,51","1,51","10000","0,000151","0","Сущ"
"382-541",,"РУ-6 кВ ДНС-2 2 СШ","541","Ф-4","Вкл.","Линия","Вкл.","6,3","1077","834","1029","774","47,8","61,1","4,44","0","-0,532","125","126","10000","0,0125","0","Сущ"
"383-419",,"1 СШ","419","Ф-5","Вкл.","Линия","Вкл.","6","245","149","245","148","0,506","0,65","0,206","0","-0,117","27,4","27,4","10000","0,00274","0","Сущ"
"383-420",,"1 СШ","420","Ф-6","Вкл.","Линия","Вкл.","6","836","1624","816","1598","20,5","26,4","2,45","0","-0,116","174","174","10000","0,0174","0","Сущ"
"383-536",,"1 СШ","536","Ф-17","Вкл.","Линия","Вкл.","6","11,03","11,84","11,03","11,85","0,00172","0,000447","0,0156","0","-0,0101","1,54","1,55","10000","0,000154","0","Сущ"
"383-542",,"1 СШ","ДНС-2","Ф-3","Вкл.","Линия","Вкл.","6","301","206","301","206","0,0362","0,0266","0,012","0","0","34,9","34,9","10000","0,00349","0","Сущ"
"384-385",,"384","ЗАО НСИ","Ф-4 ДНС-2","Вкл.","Линия","Вкл.","6,3","1,06","3,99","1,06","4,02","0","0","0","0","-0,0364","0,383","0,386","10000","0","0","Сущ"
"384-387",,"384","387","Ф-4 ДНС-2","Вкл.","Линия","Вкл.","6,3","-1026","-2794","-1037","-2809","11,44","14,7","1,12","0","-0,0279","276","276","10000","0,0276","0","Сущ"
"385-386",,"ЗАО НСИ","ЗАО НСИ",,"Вкл.","Трансформатор","Вкл.","6,3","1,08","4,03","0","0","0","0","0","1,08","4,03","0,387","0","24,1","0,0161","0","Сущ"
"387-388",,"387","388",,"Вкл.","Выключатель","Вкл.","6,3","-1272","-2982","-1272","-2982","0","0","0","0","0","299","299","-","-","0","Сущ"
"387-389",,"387","389","Ф-9","Вкл.","Линия","Вкл.","6,3","235","173","234","173","0,379","0,487","0,162","0","-0,0979","26,9","26,9","10000","0,00269","0","Сущ"
"388-382",,"388","РУ-6 кВ ДНС-2 2 СШ","Ф-9","Вкл.","Линия","Вкл.","6,3","-1272","-2982","-1275","-2985","3,73","2,74","0,294","0","0","299","299","10000","0,0299","0","Сущ"
"389-390",,"389","ОБП-2",,"Вкл.","Линия","Вкл.","6,3","234","174","234","174","0,191","0,245","0,0815","0","-0,0488","27","27","10000","0,0027","0","Сущ"
"389-393",,"389","393",,"Вкл.","Линия","Вкл.","6,3","0,00179","-1,55","0,00175","-1,1","0","0","0","0","-0,447","0,143","0,102","10000","0","0","Сущ"
"390-391",,"ОБП-2","ОБП-2",,"Вкл.","Трансформатор","Вкл.","6,3","234","174","231","154","1,49","6,26","0,635","1,51","13,63","27","392","60,6","0,445","0","Сущ"
"390-392",,"ОБП-2","392",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"392-395",,"392","ОБП-2",,"Вкл.","Трансформатор","Вкл.","6,3","125","98,5","123","84","0,457","1,93","0,366","1,4","12,56","15,33","217","60,6","0,253","0","Сущ"
"393-400",,"393","400",,"Вкл.","Линия","Вкл.","6,3","-0,00111","-0,452","-0,00111","-0,0749","0","0","0","0","-0,377","0,0418","0,00692","10000","0","0","Сущ"
"393-408",,"393","408",,"Вкл.","Линия","Вкл.","6,3","-0,00236","-0,659","-0,00236","-0,366","0","0","0","0","-0,293","0,0609","0,0338","10000","0","0","Сущ"
"394-392",,"394","392",,"Вкл.","Линия","Вкл.","6","125","98,5","125","98,5","0,0616","0,0792","0,0493","0","-0,045","15,32","15,32","10000","0,00153","0","Сущ"
"394-396",,"394","396",,"Вкл.","Линия","Вкл.","6","1649","1036","1643","1027","6,6","8,48","0,4","0","-0,032","188","188","10000","0,0188","0","Сущ"
"396-397",,"396","Столовая",,"Вкл.","Линия","Вкл.","6","57,5","35,8","57,5","35,8","0,00484","0,00621","0,00841","0","-0,0191","6,56","6,56","10000","0,000656","0","Сущ"
"396-399",,"396","399",,"Вкл.","Линия","Вкл.","6","1585","991,7","1514","900","71,3","91,6","4,5","0","-0,348","181","181","10000","0,0181","0","Сущ"
"397-398",,"Столовая","Столовая",,"Вкл.","Трансформатор","Вкл.","6","57,5","35,8","56","23","0,0753","0,317","0,131","1,38","12,44","6,55","88,2","60,6","0,108","0","Сущ"
"399-401",,"399","401",,"Вкл.","Линия","Вкл.","6","370","204","366","200","3,83","4,92","1,03","0","-0,301","43,5","43,5","10000","0,00435","0","Сущ"
"399-409",,"399","409",,"Вкл.","Линия","Вкл.","6","1144","696","1114","658","29,8","38,3","2,61","0","-0,229","138","138","10000","0,0138","0","Сущ"
"400-402",,"400","К-8",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"400-405",,"400","405",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
"401-403",,"401","403",,"Вкл.","Линия","Вкл.","6","190","90,5","190","90,4","0,112","0,144","0,0589","0","-0,034","21,9","21,9","10000","0,00219","0","Сущ"
"401-406",,"401","406",,"Вкл.","Линия","Вкл.","6","176","109","176","109","0,0753","0,0967","0,0427","0","-0,0236","21,6","21,6","10000","0,00216","0","Сущ"
"402-404",,"К-8","К-8",,"Вкл.","Трансформатор","Вкл.","6,3","190","90,4","187","75","0,542","2,6","0,285","2,55","12,77","21,9","317","96,2","0,228","0","Сущ"
