"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"59-126",,"К-95","К-35",,"Вкл.","Трансформатор","Вкл.","6,3","294","154","291","132","1,84","7,75","0,624","1,62","14,55","29,8","436","60,6","0,491","0","Сущ"
"60-59",,"60","К-95",,"Откл.","Выключатель","Откл.",,,,,,,,,,,,,,"0","Сущ",
"60-125",,"60","К-35",,"Вкл.","Трансформатор","Вкл.","6,3","473","392","466","358","3,76","18,09","0,795","3,23","16,17","56,9","837","96,2","0,592","0","Сущ"
"61-118",,"61","К-12",,"Вкл.","Трансформатор","Вкл.","6,3","387","344","381","315","3,04","14,63","0,787","2,83","14,14","51,3","752","96,2","0,533","0","Сущ"
"62-61",,"К-12","61",,"Вкл.","Выключатель","Вкл.","6,3","-303","-255","-303","-255","0","0","0","0","0","39,2","39,2","-","-","0","Сущ"
"62-117",,"К-12","К-12",,"Вкл.","Трансформатор","Вкл.","6,3","303","255","298","232","1,75","8,43","0,58","2,83","14,14","39,2","571","96,2","0,407","0","Сущ"
"63-64",,"63","К-3,3Б","Ф-5 Абазаров","Вкл.","Линия","Вкл.","6,3","589","504","584","498","4,51","5,79","0,766","0","-0,143","73,9","73,9","10000","0,00739","0","Сущ"
"63-70",,"63","70","Ф-5 Абазаров","Вкл.","Линия","Вкл.","6,3","142","117","140","116","1,83","2,35","1,29","0","-1,01","17,56","17,62","10000","0,00176","0","Сущ"
"64-115",,"К-3,3Б","К-3",,"Вкл.","Трансформатор","Вкл.","6,3","195","172","192","154","1,27","5,34","0,651","1,4","12,58","25","362","60,6","0,413","0","Сущ"
"64-116",,"К-3,3Б","К-3",,"Вкл.","Трансформатор","Вкл.","6,3","209","179","205","160","0,776","3,73","0,372","2,99","14,97","26,5","380","96,2","0,275","0","Сущ"
"65-66",,"65","66","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","-99,5","-76,8","-99,7","-76,8","0,143","0,184","0,144","0","-0,167","12,13","12,12","10000","0,00121","0","Сущ"
"65-67",,"65","67","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","1591","1272","1562","1235","29","37,2","1,82","0","-0,125","197","197","10000","0,0197","0","Сущ"
"66-64",,"66","К-3,3Б",,"Вкл.","Выключатель","Вкл.","6,3","-181","-148","-181","-148","0","0","0","0","0","22,5","22,5","-","-","0","Сущ"
"66-113",,"66","К-3Б",,"Вкл.","Трансформатор","Вкл.","6,3","79,6","58,3","78","45","0,166","0,698","0,208","1,4","12,58","9,5","131","60,6","0,157","0","Сущ"
"66-114",,"66","К-3Б",,"Вкл.","Трансформатор","Вкл.","6,3","1,4","12,58","0,000211","0,000886","0","0","0","1,4","12,58","1,22","0,00132","60,6","0,0201","0","Сущ"
"67-68",,"67","К-4","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","1025","825","1013","809","12,66","16,26","1,23","0","-0,121","130","130","10000","0,013","0","Сущ"
"67-69",,"67","К-14,15","Ф-19 Абазаров","Вкл.","Линия","Вкл.","6,3","537","409","518","386","18,68","24","3,48","0","-0,657","66,6","66,7","10000","0,00666","0","Сущ"
"68-119",,"К-4","К-4",,"Вкл.","Трансформатор","Вкл.","6,3","454","368","445","326","7,25","30,6","1,6","1,29","11,61","58,6","866","60,6","0,966","0","Сущ"
"68-120",,"К-4","К-4",,"Вкл.","Трансформатор","Вкл.","6,3","240","192","237","172","1,96","8,26","0,815","1,29","11,61","30,8","450","60,6","0,508","0","Сущ"
"68-121",,"К-4","К-4",,"Вкл.","Трансформатор","Вкл.","6,3","1,29","11,61","-0,000263","-0,000833","0","0","0","1,29","11,61","1,17","0,00131","60,6","0,0193","0","Сущ"
"68-122",,"К-4","К-4",,"Вкл.","Трансформатор","Вкл.","6,3","318","238","313","215","1,81","8,71","0,571","2,77","13,83","39,7","581","96,2","0,413","0","Сущ"
"69-615",,"К-14,15","615",,"Вкл.","Выключатель","Вкл.","6,3","112","109","112","109","0","0","0","0","0","16,11","16,11","-","-","0","Сущ"
"69-152",,"К-14,15","К-14",,"Вкл.","Трансформатор","Вкл.","6,3","248","140","245","121","1,79","7,56","0,724","1,22","10,96","29,4","431","60,6","0,484","0","Сущ"
"69-153",,"К-14,15","К-14",,"Вкл.","Трансформатор","Вкл.","6,3","158","138","155","122","0,511","2,46","0,323","2,61","13,04","21,6","308","96,2","0,225","0","Сущ"
"70-150",,"70","К-15",,"Вкл.","Трансформатор","Вкл.","6,3","140","116","138","101","0,613","2,58","0,438","1,38","12,41","17,62","252","60,6","0,291","0","Сущ"
"71-73",,"71","К-2",,"Вкл.","Линия","Вкл.","6,3","360","-110","358","-112","1,84","2,36","0,512","0","-0,274","35","35","10000","0,0035","0","Сущ"
"71-75",,"71","К-23",,"Вкл.","Линия","Откл.",,,,,,,,,,,,,,"0","Сущ",
