__well_num,__deposit,__pad_num,node_name_start,p_plast,_time,loss,model_kwh,node_id,source
627,Тайлаковское,45,plast_к.45__скв.627,210,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 1000кВА №2 КП-45 627,0
627,Тайлаковское,45,plast_к.45__скв.627,210,1680271263,0,0,Тайлаковское 45 627,0
2302,Тайлаковское,230,plast_к.230__скв.2302,1680271263,0,0,Тайлаковское 230 2302,0,
1600,Тайлаковское,55,plast_к.55__скв.1600,192,1680271263,0,0,Тайлаковское 55 1600,0
2306,Тайлаковское,230,plast_к.230__скв.2306,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-230 2306,0,
2306,Тайлаковское,230,plast_к.230__скв.2306,1680271263,0,0,Тайлаковское 230 2306,0,
3780,Тайлаковское,37,plast_к.37__скв.3780,276,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 3780,0
3780,Тайлаковское,37,plast_к.37__скв.3780,276,1680271263,0,0,Тайлаковское 37 3780,0
1902,Тайлаковское,71,plast_к.71__скв.1902,205,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000 кВА №2 КП-71 1902,0
1902,Тайлаковское,71,plast_к.71__скв.1902,205,1680271263,0,0,Тайлаковское 71 1902,0
409,Тайлаковское,40б,plast_к.40б__скв.409,188,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-40 Б 409,0
409,Тайлаковское,40б,plast_к.40б__скв.409,188,1680271263,0,0,Тайлаковское 40б 409,0
1602,Тайлаковское,55,plast_к.55__скв.1602,193,1680271263,0,0,Тайлаковское 55 1602,0
104,Тайлаковское,96,plast_к.96__скв.104,246,1680271263,0,0,Тайлаковское 96 104,0
408,Тайлаковское,40б,plast_к.40б__скв.408,166,1680271263,0,0,Тайлаковское 40б 408,0
421,Тайлаковское,40б,plast_к.40б__скв.421,226,1680271263,0,0,Тайлаковское 40б 421,0
1413,Тайлаковское,55,plast_к.55__скв.1413,223,1680271263,0,0,Тайлаковское 55 1413,0
3703,Тайлаковское,37,plast_к.37__скв.3703,237,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-37 3703,0
3703,Тайлаковское,37,plast_к.37__скв.3703,237,1680271263,0,0,Тайлаковское 37 3703,0
582,Тайлаковское,40,plast_к.40__скв.582,187,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-40 582,0
582,Тайлаковское,40,plast_к.40__скв.582,187,1680271263,0,0,Тайлаковское 40 582,0
573,Тайлаковское,40,plast_к.40__скв.573,178,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4кВ 630кВА №1 КП-40 573,0
573,Тайлаковское,40,plast_к.40__скв.573,178,1680271263,0,0,Тайлаковское 40 573,0
1417,Тайлаковское,55,plast_к.55__скв.1417,217,1680271263,0,0,Тайлаковское 55 1417,0
6002,Тайлаковское,44,plast_к.44__скв.6002,214,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №1 КП-44 6002,0
6002,Тайлаковское,44,plast_к.44__скв.6002,214,1680271263,0,0,Тайлаковское 44 6002,0
4308,Тайлаковское,43,plast_к.43__скв.4308,202,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 630кВА №2 КП-43 4308,0
4308,Тайлаковское,43,plast_к.43__скв.4308,202,1680271263,0,0,Тайлаковское 43 4308,0
1613,Тайлаковское,55,plast_к.55__скв.1613,195,1680271263,0,0,Тайлаковское 55 1613,0
402,Тайлаковское,40б,plast_к.40б__скв.402,207,1680271263,0,0,с/р №10 ПС 35/6 кВ Кузьмин  ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0) nan КТПН 6/0 4 кВ 1000кВА №2 КП-40 Б 402,0
