IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
117,Общепромысловые,3,{9DEE4696-478D-4F8C-A878-2670A36E4153},,0,False,,,,,True,,,
118,Перекачка,3,{0EFF0318-9A85-42C4-A8C0-A9DA587F0D4C},,0,False,,,,,True,,,
119,Тайлаковское м/р,3,{7101214B-6F11-42B1-B711-CA3CDF5A7757},,0,False,,,,,True,,,
120,ЦППН-1,3,{7A525C6E-F689-4F51-8E9E-CBDC0AB12DF3},,0,False,,,,,True,,,
121,Общепромысловые,3,{79CF4D46-9F41-43DF-8200-38EB40418AC2},,0,False,,,,,True,,,
122,Подготовка,3,{D13D9192-FA42-4F85-B25C-12F0E107DAF0},,0,False,,,,,True,,,
123,Сдача нефти,3,{F36129EF-E8B7-4456-AE0B-79D3C254A27B},,0,False,,,,,True,,,
124,"Потери 35,сторонние",3,{CCD5612A-E508-4800-9456-07671E10210B},,0,False,,,,,True,,,
125,АНГДУ,3,{39CC26D3-1B0A-4D42-92B2-338FB2395F70},,0,False,,,,,True,,,
126,ВНГДУ,3,{69515B8A-00BD-4A8E-9E99-B9D347CA67A1},,0,False,,,,,True,,,
127,Сторнние Ватинского м/р,3,{6C10981E-39D2-4B9A-BA09-A666ADB6A157},,0,False,,,,,True,,,
128,Сторонние Мыхпайского м/р,3,{E6869321-907A-4A29-A595-B2DD658419D5},,0,False,,,,,True,,,
129,Сторонние С.-Покур м/р,3,{EE641D76-E20E-486A-A6DE-025656A77814},,0,False,,,,,True,,,
130,Сторонние ЦППН-1,3,{DCDD5A3B-D45F-4A35-86B2-089FF2C2A275},,0,False,,,,,True,,,
131,Профиль нагрузки,3,{0D6AF07F-E9CE-4ADB-8E2D-BFA8E9CA5773},,0,False,,,,,True,,,
132,Профиль нагрузки,16,{0123952D-7D7E-4555-8835-2E9A37D1776F},,0,False,,,,,True,,,
