Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),section_name,section_tap_num,pad_num,ktpn_num,ktpn_object_type,ktpn_primitiveName,ktpn_node_name
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №4,"ПС 35/6 кВ Куст-150, Тр-р 35/6 кВ №1 (; ПБВ; 0)",СШ 6 кВ №1 яч.6,"КТПН 6/0,4 кВ №2 400кВА КП-148",СШ 6 кВ №1,6,148,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 400кВА КП-148"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
с/р №1,"ПС 35/6 кВ Куст-120, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; +2)",СШ 6 кВ №1 яч.8,"КТПН 6/0,4 кВ №2 630 кВА К - 209",СШ 6 кВ №1,8,,2,КТПН,eeKTPN,"КТПН 6/0,4 кВ №2 630 кВА К - 209"
