Подразделение,Электроустановка,Подразделение_num,type,primitiveName,node_name
с/р №2,"ПС 35/6 кВ Куст-37, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-37
с/р №2,"ПС 35/6 кВ Куст-37, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-37
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-4
с/р №2,"ПС 35/6 кВ Куст-50, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-50
с/р №2,"ПС 35/6 кВ Куст-4, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-4
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-43
с/р №2,"ПС 35/6 кВ Куст-41, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-41
с/р №2,"ПС 35/6 кВ Куст-43, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-43
с/р №2,"ПС 35/6 кВ Куст-25, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-25
с/р №2,"ПС 35/6 кВ Куст-27, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,Куст-27
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №1 (ТОМН 4000/35; ПБВ; 0)",2,ПС 35/6 кВ,eeSubstation,Западная
с/р №2,"ПС 35/6 кВ Западная, Тр-р 35/6 кВ №2 (ТОМН 4000/35; ПБВ; 0)",2,ПС 35/6 кВ,eeSubstation,Западная
с/р №2,ЗРУ 6 кВ Еловая,2,ЗРУ 6 кВ,eeZru,Еловая
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №1 (; ПБВ; 0)",2,ПС 35/6 кВ,eeSubstation,КНС-2
с/р №2,"ПС 35/6 кВ КНС-2, Тр-р 35/6 кВ №2 (; ПБВ; 0)",2,ПС 35/6 кВ,eeSubstation,КНС-2
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №1 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,КНС-2бис
с/р №2,"ПС 35/6 кВ КНС-2бис, Тр-р 35/6 кВ №2 (; ; 0)",2,ПС 35/6 кВ,eeSubstation,КНС-2бис
с/р №3,"ПС 35/6 кВ №186, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,№186
с/р №3,"ПС 35/6 кВ Куст-1, ТР-р 35/6 кВ №1 (; ПБВ; 0)",3,ПС 35/6 кВ,eeSubstation,Куст-1
