Подразделение,Электроустановка,"СШ, №яч.",Дисп. наименование КТП(Н),padNum,object_type,primitiveName,node_name,padNum,object_type,primitiveName,node_name
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.5,"КТПН 6/0,4 кВ 1000кВА №1 КП-43",КП-43,КТПН,eeKTPN,КТПН 1,КП-43,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9," КТПН 6/0,4кВ 630кВА  №1 КП-37",КП-37,КТПН,eeKTPN,КТПН 1,КП-37,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ 1000кВА №1 КП-44",КП-44,КТПН,eeKTPN,КТПН 1,КП-44,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №1 (укажите тип тр-ра; ; 0)",СШ 6 кВ №1 яч.9,"КТПН 6/0,4 кВ 1000кВА №2 КП-44",КП-44,КТПН,eeKTPN,КТПН 2,КП-44,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19 ,"КТПН 6/0,4 кВ 1000кВА №1 КП-230",КП-230,КТПН,eeKTPN,КТПН 1,КП-230,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч. 19 ,"КТПН 6/0,4 кВ 1000кВА №2 КП-230",КП-230,КТПН,eeKTPN,КТПН 2,КП-230,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №1 КП-45",КП-45,КТПН,eeKTPN,КТПН 1,КП-45,КТПН,eeKTPN,КТПН 1
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18," КТПН 6/0,4кВ 1000кВА  №2 КП-45",КП-45,КТПН,eeKTPN,КТПН 2,КП-45,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 1000кВА №2 КП-40 Б",КП-40Б,КТПН,eeKTPN,КТПН 2,КП-40Б,КТПН,eeKTPN,КТПН 2
с/р №10,"ПС 35/6 кВ ""Кузьмин"", ТР-р 35/6 кВ №2 (укажите тип тр-ра; ; 0)",СШ 6 кВ №2 яч.18,"КТПН 6/0,4 кВ 400 кВА №2 К-45 Б",К-45Б,КТПН,eeKTPN,КТПН 2,К-45Б,КТПН,eeKTPN,КТПН 2
