Подразделение,Электроустановка,Подразделение_num
с/р №5,"ПС 35/6 кВ Промысловая-2, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Промысловая-2, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-67, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Мало-Аганская, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-9бис, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Мало-Аганская, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-9бис, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-69, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-69бис, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-86, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-67, Тр-р 35/6 кВ №2 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-69, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-86, Тр-р 35/6 кВ №1 (; ПБВ; 0)",5
с/р №5,"ПС 35/6 кВ Западно-Аганская, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-103, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-103, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-106, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-106, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-11, Тр-р 35/6 кВ №1 (; ; 0)",5
с/р №5,"ПС 35/6 кВ Куст-11, Тр-р 35/6 кВ №2 (; ; 0)",5
с/р №5,РУ 6кВ Южно-Аганское,5
с/р №5,РУ 6 кВ №3,5
с/р №5,"ПС 35/6 кВ Куст-111, Тр-р 35/6 кВ №1 (; ; 0)",5
